id,createdAt,agentName,eventType,delta,reason
ff74527c-fffa-4fde-b2dd-56512cd9413e,2026-02-19T05:32:58.470Z,Cal Brennan,inactivity_decay,-3,Natural approval drift toward baseline
8dd613f5-0cfa-46c2-9401-9d90d448eb03,2026-02-19T05:32:58.469Z,Dax Nguyen,inactivity_decay,-3,Natural approval drift toward baseline
dcfb9ef5-a0b6-45d5-a400-40b6ada392e5,2026-02-19T05:32:58.467Z,Knox Aldridge,inactivity_decay,-1,Natural approval drift toward baseline
9eed6f0b-3e30-4378-8ce3-2d0241cf50ed,2026-02-19T05:32:58.465Z,Petra Walsh,inactivity_decay,-1,Natural approval drift toward baseline
d7705ac3-f92a-4fc0-b1dc-b56ab937af23,2026-02-19T05:32:58.463Z,Soren Pike,inactivity_decay,-3,Natural approval drift toward baseline
47178ff2-bf42-4dea-a704-8c6b99f590f0,2026-02-19T05:32:58.462Z,Rio Castillo,inactivity_decay,-3,Natural approval drift toward baseline
8f883175-f0cd-43f9-8242-8d854554d167,2026-02-19T05:32:58.460Z,Tess Harlow,inactivity_decay,-3,Natural approval drift toward baseline
768fa04e-a626-4c1f-882d-0e771c80f286,2026-02-19T05:32:58.459Z,Ezra Cole,inactivity_decay,-1,Natural approval drift toward baseline
dc127e6c-6343-4b42-8491-bfb2b1d3d713,2026-02-19T05:32:58.457Z,Zara Moss,inactivity_decay,-2,Natural approval drift toward baseline
2e7fba1e-34a9-460a-aedd-db56bccef233,2026-02-19T05:32:58.455Z,Vesper Crane,inactivity_decay,-1,Natural approval drift toward baseline
8aa54779-3163-4a5e-8f2c-1b174019cf48,2026-02-19T05:32:58.453Z,Elio Drace,inactivity_decay,-3,Natural approval drift toward baseline
4289e753-b1c6-48b0-b903-cc1bf971dbfd,2026-02-19T05:32:58.452Z,Sam Ritter,inactivity_decay,-2,Natural approval drift toward baseline
f24b63dc-95ee-4f25-a8f7-3fa7495f0408,2026-02-19T05:32:58.450Z,Nora Callahan,inactivity_decay,-2,Natural approval drift toward baseline
7f951e33-4bdb-453c-ac39-cf6bc2968f08,2026-02-19T05:32:58.448Z,Rue Maddox,inactivity_decay,-1,Natural approval drift toward baseline
d56b8b48-c8e0-499e-bb4b-b955c6d183c4,2026-02-19T05:32:58.445Z,Indigo Parek,inactivity_decay,-1,Natural approval drift toward baseline
d46a88ee-0f07-4923-8fbc-681455865d86,2026-02-19T05:32:58.444Z,Leila Farsi,inactivity_decay,-1,Natural approval drift toward baseline
9b288836-90dc-4362-949e-fd1fad28e299,2026-02-19T05:32:58.442Z,Garrett Voss,inactivity_decay,-1,Natural approval drift toward baseline
e5c201e5-92df-456f-84e9-527ce534eaee,2026-02-19T05:32:58.440Z,Sable Chen,inactivity_decay,-2,Natural approval drift toward baseline
e2f3b0c3-3eb5-405f-98f3-060054fc1710,2026-02-19T05:32:58.439Z,Finn Kalani,inactivity_decay,-3,Natural approval drift toward baseline
771693b9-7859-4772-a224-7a3a4531d5ac,2026-02-19T05:32:58.437Z,Briar Song,inactivity_decay,-1,Natural approval drift toward baseline
